"","Team","year","team_year","total_dvoa","weighted_dvoa","offense_dvoa","defense_dvoa","special_dvoa","off_def_difference"
"1","DAL",2021,"DAL2021",30.9,34.6,13.6,-15.2,2.1,11.5
"2","BUF",2021,"BUF2021",27.6,26.1,9.7,-18,-0.1,9.8
"3","TB",2021,"TB2021",27.6,25.9,26.7,-3.3,-2.4,29.1
"4","NE",2021,"NE2021",23.3,31.2,10.5,-12.8,0,10.5
"5","LAR",2021,"LAR2021",21.6,21.1,10.6,-8.5,2.5,8.1
"6","SF",2021,"SF2021",19.9,25.2,14.9,-7.4,-2.4,17.3
"7","KC",2021,"KC2021",17.3,24.1,18.1,4.5,3.7,14.4
"8","GB",2021,"GB2021",11.8,15.3,20.2,3.6,-4.9,25.1
"9","SEA",2021,"SEA2021",11.7,14.6,12.7,3.5,2.5,10.2
"10","ARI",2021,"ARI2021",11,0.9,3.2,-8.2,-0.4,3.6
"11","IND",2021,"IND2021",9.8,13,4.4,-4.9,0.4,4
"12","LAC",2021,"LAC2021",8.7,10.9,16,4.8,-2.4,18.4
"13","CLE",2021,"CLE2021",4.8,0.2,4.2,-2.5,-1.9,6.1
"14","NO",2021,"NO2021",4.7,-0.2,-10.6,-15,0.3,-10.9
"15","PHI",2021,"PHI2021",3.8,3.2,8.1,4.7,0.3,7.8
"16","MIN",2021,"MIN2021",2.6,-0.2,2.6,0.4,0.4,2.2
"17","CIN",2021,"CIN2021",-0.1,1.8,1.3,3,1.6,-0.3
"18","DEN",2021,"DEN2021",-1.4,1.7,5.5,3,-3.9,9.4
"19","BAL",2021,"BAL2021",-2.7,-11,1.7,9.3,5,-3.3
"20","TEN",2021,"TEN2021",-3,2.3,-4.2,-2.3,-1,-3.2
"21","LV",2021,"LV2021",-5,-2.3,-3.4,0.6,-0.9,-2.5
"22","WAS",2021,"WAS2021",-10.1,-9.2,-5.3,5.8,1,-6.3
"23","PIT",2021,"PIT2021",-10.2,-12.5,-11,-0.6,0.2,-11.2
"24","CHI",2021,"CHI2021",-10.6,-6.6,-13.6,-0.9,2.1,-15.7
"25","MIA",2021,"MIA2021",-10.9,-5.6,-10.8,-2.9,-2.9,-7.9
"26","NYJ",2021,"NYJ2021",-18.6,-11.5,-8.3,14.4,4.1,-12.4
"27","CAR",2021,"CAR2021",-24.2,-35.3,-22.8,-0.2,-1.6,-21.2
"28","HOU",2021,"HOU2021",-24.3,-21.2,-22,3.6,1.3,-23.3
"29","DET",2021,"DET2021",-27.2,-27.6,-17.7,10.8,1.3,-19
"30","ATL",2021,"ATL2021",-29.4,-19.5,-17.1,11.3,-1,-16.1
"31","NYG",2021,"NYG2021",-29.6,-39.4,-28.1,2.8,1.3,-29.4
"32","JAX",2021,"JAX2021",-31,-30.8,-15.1,11.7,-4.2,-10.9
"33","NO",2020,"NO2020",33.3,34.4,10.7,-19,3.6,7.1
"34","TB",2020,"TB2020",31.5,33.6,19.8,-14.6,-2.9,22.7
"35","GB",2020,"GB2020",25.8,31.4,29.1,0.5,-2.7,31.8
"36","BUF",2020,"BUF2020",23.8,34.5,15.6,-2.2,5.9,9.7
"37","SEA",2020,"SEA2020",20.1,22,13.7,0.4,6.8,6.9
"38","KC",2020,"KC2020",19.6,19.5,23.9,4.9,0.5,23.4
"39","BAL",2020,"BAL2020",18.5,15.7,4.3,-6.9,7.4,-3.1
"40","PIT",2020,"PIT2020",16.8,13.4,-4.7,-20.2,1.3,-6
"41","LAR",2020,"LAR2020",15.4,14.1,4.4,-17,-6,10.4
"42","IND",2020,"IND2020",14.2,13.5,2.7,-9.5,2,0.7
"43","SF",2020,"SF2020",5.4,4.3,-2.5,-9.9,-2.1,-0.4
"44","MIA",2020,"MIA2020",4.6,3.6,-2.1,-3.3,3.3,-5.4
"45","ARI",2020,"ARI2020",3.6,1.2,-2.4,-6.6,-0.6,-1.8
"46","TEN",2020,"TEN2020",2.5,4.2,18.4,11.5,-4.4,22.8
"47","CHI",2020,"CHI2020",-0.6,1.7,-10.6,-7.5,2.6,-13.2
"48","WAS",2020,"WAS2020",-2.3,3.6,-21.8,-18.3,1.1,-22.9
"49","ATL",2020,"ATL2020",-3.6,0.2,-3.1,-0.1,-0.7,-2.4
